source_symbol,feature_name,resolved_hgnc_symbol,mapping_method,mapping_source
AKAP8L,Q9ULX6,AKAP8L,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AKNA,Q7Z591,AKNA,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AKR1A1,P14550,AKR1A1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AKR1B10,O60218,AKR1B10,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AKR1C2,P52895,AKR1C2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AKR1C3,P42330,AKR1C3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AKR7A2,O43488,AKR7A2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AKR7A3,O95154,AKR7A3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AKT3,Q9Y243,AKT3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALAS1,P13196,ALAS1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALDH18A1,P54886,ALDH18A1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALDH1A1,P00352,ALDH1A1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALDH1A2,O94788,ALDH1A2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALDH1A3,P47895,ALDH1A3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALDH1B1,P30837,ALDH1B1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALDH1L1,O75891,ALDH1L1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALDH1L2,Q3SY69,ALDH1L2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALDH3B1,P43353,ALDH3B1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALDH4A1,P30038,ALDH4A1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALDH6A1,Q02252,ALDH6A1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALDOA,P04075,ALDOA,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALDOB,P05062,ALDOB,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALDOC,P09972,ALDOC,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALG1,Q9BT22,ALG1,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ALG10B,Q5I7T1,ALG10B,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ALG5,Q9Y673,ALG5,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALG6,Q9Y672,ALG6,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALKAL2,Q6UX46,ALKAL2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALKBH4,Q9NXW9,ALKBH4,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALKBH5,Q6P6C2,ALKBH5,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALKBH6,Q3KRA9,ALKBH6,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALOX15,P16050,ALOX15,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALOX15B,O15296,ALOX15B,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALOX5AP,P20292,ALOX5AP,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALPK1,Q96QP1,ALPK1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALPK2,Q86TB3,ALPK2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALPL,P05186,ALPL,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ALS2,Q96Q42,ALS2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ALYREF,Q86V81,ALYREF,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AMBP,P02760,AMBP,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AMBRA1,Q9C0C7,AMBRA1,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
AMDHD2,Q9Y303,AMDHD2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AMIGO1,Q86WK6,AMIGO1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AMIGO2,Q86SJ2,AMIGO2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AMN1,Q8IY45,AMN1,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
AMOTL1,Q8IY63,AMOTL1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AMPD1,P23109,AMPD1,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
AMPH,P49418,AMPH,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AMT,P48728,AMT,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AMZ2,Q86W34,AMZ2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ANAPC13,Q9BS18,ANAPC13,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ANAPC2,Q9UJX6,ANAPC2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ANG,P03950,ANG,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ANGPT1,Q15389,ANGPT1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ANGPT2,O15123,ANGPT2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ANGPTL1,O95841,ANGPTL1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ANGPTL2,Q9UKU9,ANGPTL2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ANGPTL8,Q6UXH0,ANGPTL8,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ANK1,P16157,ANK1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ANK2,Q01484,ANK2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ANK3,Q12955,ANK3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ANKH,Q9HCJ1,ANKH,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ANKLE2,Q86XL3,ANKLE2,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ANKRD12,Q6UB98,ANKRD12,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ANKRD13D,Q6ZTN6,ANKRD13D,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ANKRD18B,A2A2Z9,ANKRD18B,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ANKRD28,O15084,ANKRD28,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
